frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,415.0,375.0,414.0,366.0,,,432.0,359.0,,,476,382,491,363,514,476,,,526,565,,,610,386,618,378,543,473,550.0,470.0,541,591,545.0,578.0
1,414.0,376.0,413.0,367.0,,,433.0,359.0,,,477,383,493,363,514,474,,,525,558,,,612,387,620,379,542,473,553.0,468.0,542,584,548.0,570.0
2,414.0,376.0,414.0,367.0,,,434.0,359.0,,,476,383,493,363,514,474,,,526,557,,,612,388,621,380,541,474,553.0,469.0,543,583,549.0,569.0
3,414.0,376.0,413.0,367.0,,,434.0,359.0,,,477,383,493,363,514,474,,,526,557,,,611,390,620,381,541,475,554.0,470.0,542,585,549.0,569.0
4,416.0,374.0,414.0,365.0,,,432.0,359.0,,,478,384,492,358,516,479,,,529,562,,,605,401,613,391,537,483,545.0,475.0,537,590,542.0,574.0
5,416.0,374.0,414.0,365.0,,,433.0,359.0,,,478,384,490,360,516,478,,,529,558,,,605,402,610,392,537,482,546.0,475.0,538,588,544.0,571.0
6,416.0,374.0,414.0,365.0,,,433.0,359.0,,,478,384,490,360,516,478,,,529,558,,,605,402,611,392,538,482,546.0,475.0,539,587,544.0,571.0
7,415.0,374.0,414.0,365.0,,,433.0,359.0,,,478,385,491,360,516,479,,,529,558,,,604,404,611,393,538,484,547.0,476.0,539,586,545.0,569.0
8,415.0,374.0,414.0,365.0,,,433.0,359.0,,,477,384,490,360,516,477,,,529,558,,,604,404,611,394,537,483,546.0,476.0,538,585,544.0,571.0
9,414.0,374.0,413.0,365.0,,,432.0,360.0,,,477,386,487,363,516,478,,,528,557,,,601,407,606,397,538,486,544.0,479.0,538,588,542.0,574.0
10,415.0,374.0,414.0,365.0,,,432.0,360.0,,,476,387,488,363,516,477,,,528,558,,,601,407,607,397,537,489,546.0,479.0,535,591,541.0,575.0
11,414.0,374.0,414.0,365.0,,,433.0,360.0,,,476,388,489,361,515,477,,,528,556,,,601,408,608,397,536,490,545.0,478.0,535,590,541.0,573.0
12,414.0,374.0,414.0,365.0,,,433.0,360.0,,,476,387,489,361,515,477,,,528,557,,,602,408,609,397,536,485,545.0,475.0,533,587,540.0,572.0
13,412.0,370.0,412.0,361.0,,,433.0,356.0,,,477,382,488,358,515,475,,,528,556,,,604,405,609,395,537,481,544.0,472.0,535,587,538.0,571.0
14,412.0,372.0,411.0,362.0,,,433.0,351.0,,,474,376,492,354,513,469,,,524,553,,,609,385,619,375,542,471,552.0,463.0,543,580,547.0,566.0
15,413.0,371.0,413.0,361.0,,,435.0,350.0,,,477,373,488,356,513,468,,,518,554,,,607,390,613,382,547,470,558.0,461.0,551,571,554.0,558.0
16,411.0,372.0,411.0,363.0,,,432.0,355.0,,,473,374,490,352,513,463,,,525,542,,,613,367,621,359,553,474,563.0,470.0,541,590,545.0,576.0
