frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,726,416,909,670
1,726,415,910,670
2,726,416,910,670
3,727,416,910,669
4,727,418,910,670
5,727,414,910,667
6,727,412,911,667
7,727,407,912,663
8,728,403,912,658
9,728,399,912,652
10,728,397,913,646
11,728,395,913,642
12,728,391,913,635
13,728,386,913,628
14,728,386,913,623
15,728,382,913,614
16,728,376,914,606
17,727,372,914,599
18,727,368,914,593
19,727,364,914,587
20,728,359,915,581
21,729,355,915,572
22,729,354,915,564
23,729,350,915,557
24,729,340,915,548
25,729,337,915,544
26,730,332,916,538
27,730,330,916,533
28,729,325,916,526
29,729,320,916,519
30,728,317,915,513
31,727,314,914,508
32,726,311,914,503
33,725,309,913,497
34,725,304,913,492
35,724,300,912,487
36,722,298,910,482
37,722,294,909,477
38,721,292,908,472
39,720,288,908,468
40,719,283,907,464
41,718,280,907,462
42,717,276,905,458
43,717,275,905,456
44,717,273,905,454
45,717,272,904,453
46,717,271,904,453
47,716,271,904,453
48,716,271,904,453
49,715,271,903,453
50,714,272,901,454
51,712,272,899,454
52,710,272,898,454
53,709,272,897,454
54,709,272,896,454
55,708,272,896,454
56,709,273,897,455
57,710,273,898,455
58,712,274,900,456
59,714,275,903,458
60,716,276,905,459
61,718,277,908,460
62,720,278,910,462
63,722,280,912,463
64,725,281,914,465
65,727,285,916,468
66,729,288,919,471
67,731,292,921,476
68,734,298,923,481
69,736,301,924,485
70,738,304,927,492
71,739,310,929,498
72,740,312,930,503
73,740,315,930,509
74,741,320,930,515
75,741,325,930,521
76,741,329,929,528
77,740,332,928,536
78,739,334,927,543
79,738,337,925,549
80,738,344,924,557
81,738,349,923,564
82,736,354,921,573
83,735,359,920,581
84,734,364,919,590
85,733,367,918,595
86,732,371,917,602
87,731,374,916,609
88,732,381,915,615
89,731,385,915,625
90,731,391,914,634
91,729,394,913,641
92,729,397,912,647
93,730,400,912,655
94,729,405,911,661
95,728,410,910,667
96,727,411,909,670
97,727,411,908,673
98,726,412,907,673
99,727,412,908,672
100,727,412,908,672
101,727,411,908,671
102,727,410,908,670
