frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,588.0,507.0,797.0,720.0
1,589.0,506.0,795.0,719.0
2,589.0,508.0,794.0,719.0
3,588.0,512.0,791.0,720.0
4,592.0,515.0,794.0,719.0
5,593.0,516.0,796.0,719.0
6,593.0,518.0,798.0,719.0
7,595.0,519.0,802.0,719.0
8,597.0,518.0,804.0,718.0
9,597.0,516.0,805.0,717.0
10,599.0,513.0,814.0,718.0
11,600.0,511.0,817.0,719.0
12,600.0,510.0,809.0,719.0
13,601.0,508.0,806.0,720.0
14,600.0,505.0,807.0,720.0
15,600.0,501.0,808.0,720.0
16,598.0,494.0,807.0,719.0
17,597.0,490.0,807.0,719.0
18,598.0,486.0,808.0,720.0
19,597.0,485.0,810.0,719.0
20,593.0,488.0,816.0,719.0
21,592.0,488.0,820.0,719.0
22,591.0,488.0,819.0,719.0
23,591.0,488.0,822.0,720.0
24,590.0,485.0,819.0,719.0
25,590.0,481.0,817.0,719.0
26,588.0,477.0,815.0,719.0
27,581.0,472.0,814.0,718.0
28,581.0,465.0,809.0,714.0
29,580.0,460.0,807.0,708.0
30,577.0,454.0,803.0,705.0
31,578.0,449.0,804.0,703.0
32,577.0,445.0,807.0,695.0
33,576.0,437.0,801.0,687.0
34,575.0,432.0,801.0,682.0
35,574.0,426.0,805.0,703.0
36,571.0,421.0,797.0,712.0
37,570.0,417.0,794.0,708.0
38,564.0,413.0,791.0,689.0
39,566.0,411.0,794.0,678.0
40,566.0,410.0,793.0,675.0
41,560.0,409.0,792.0,676.0
42,537.0,410.0,791.0,673.0
43,552.0,417.0,793.0,670.0
44,556.0,420.0,794.0,667.0
45,572.0,424.0,806.0,666.0
46,582.0,427.0,809.0,667.0
47,589.0,429.0,813.0,669.0
48,598.0,432.0,819.0,672.0
49,604.0,434.0,822.0,671.0
50,610.0,434.0,823.0,671.0
51,614.0,435.0,824.0,671.0
52,617.0,436.0,826.0,673.0
53,621.0,439.0,842.0,673.0
54,624.0,440.0,844.0,679.0
55,625.0,442.0,851.0,684.0
56,625.0,443.0,858.0,685.0
57,626.0,444.0,862.0,691.0
58,628.0,445.0,862.0,698.0
59,629.0,444.0,866.0,703.0
60,627.0,444.0,864.0,699.0
61,627.0,444.0,859.0,694.0
62,626.0,444.0,848.0,686.0
63,626.0,445.0,844.0,686.0
64,626.0,446.0,847.0,697.0
65,625.0,446.0,857.0,695.0
66,625.0,446.0,858.0,688.0
67,624.0,446.0,866.0,698.0
68,625.0,447.0,864.0,691.0
69,625.0,447.0,877.0,701.0
70,624.0,447.0,862.0,689.0
71,623.0,447.0,848.0,684.0
72,623.0,447.0,843.0,683.0
73,622.0,447.0,842.0,682.0
74,621.0,447.0,842.0,682.0
75,620.0,446.0,842.0,682.0
76,619.0,446.0,841.0,682.0
77,619.0,446.0,837.0,682.0
78,618.0,445.0,835.0,684.0
79,616.0,445.0,832.0,684.0
80,616.0,444.0,828.0,686.0
81,615.0,444.0,827.0,685.0
82,614.0,443.0,826.0,686.0
83,613.0,442.0,827.0,685.0
84,612.0,441.0,827.0,684.0
85,611.0,440.0,828.0,682.0
86,611.0,440.0,830.0,681.0
87,612.0,439.0,840.0,679.0
88,611.0,439.0,841.0,678.0
89,611.0,439.0,839.0,679.0
90,610.0,441.0,844.0,682.0
91,612.0,443.0,835.0,685.0
92,612.0,445.0,829.0,693.0
93,614.0,447.0,828.0,696.0
94,615.0,448.0,828.0,697.0
95,617.0,449.0,829.0,694.0
96,614.0,451.0,831.0,694.0
97,618.0,452.0,851.0,700.0
98,622.0,455.0,863.0,703.0
99,622.0,457.0,866.0,706.0
100,623.0,457.0,868.0,707.0
101,623.0,457.0,867.0,708.0
102,623.0,457.0,866.0,708.0
103,622.0,457.0,851.0,706.0
104,619.0,457.0,840.0,704.0
105,620.0,455.0,833.0,702.0
106,618.0,454.0,829.0,700.0
107,617.0,452.0,830.0,696.0
108,616.0,450.0,834.0,694.0
109,616.0,447.0,832.0,687.0
110,615.0,445.0,829.0,683.0
111,614.0,443.0,828.0,680.0
112,614.0,442.0,826.0,678.0
113,613.0,442.0,825.0,678.0
114,612.0,441.0,825.0,676.0
115,610.0,439.0,825.0,677.0
116,610.0,437.0,826.0,676.0
117,608.0,435.0,827.0,675.0
118,606.0,434.0,830.0,675.0
119,604.0,433.0,833.0,675.0
120,601.0,432.0,826.0,675.0
121,599.0,430.0,824.0,672.0
122,594.0,427.0,824.0,671.0
123,594.0,424.0,823.0,670.0
124,594.0,421.0,822.0,669.0
125,591.0,419.0,823.0,666.0
126,576.0,417.0,823.0,662.0
127,561.0,415.0,819.0,659.0
128,521.0,411.0,818.0,651.0
129,509.0,409.0,813.0,647.0
130,551.0,406.0,809.0,643.0
131,566.0,404.0,806.0,640.0
132,573.0,402.0,805.0,638.0
133,574.0,397.0,804.0,633.0
134,575.0,392.0,804.0,630.0
135,570.0,389.0,804.0,626.0
136,571.0,384.0,804.0,624.0
137,569.0,381.0,803.0,619.0
138,573.0,376.0,806.0,613.0
139,574.0,370.0,806.0,608.0
140,564.0,366.0,807.0,602.0
141,559.0,362.0,807.0,601.0
142,565.0,359.0,807.0,598.0
143,572.0,353.0,807.0,591.0
144,576.0,350.0,808.0,588.0
145,569.0,350.0,804.0,584.0
146,574.0,349.0,803.0,582.0
147,578.0,348.0,805.0,582.0
148,582.0,348.0,808.0,579.0
149,583.0,346.0,809.0,578.0
150,585.0,346.0,808.0,572.0
151,586.0,345.0,809.0,572.0
152,587.0,343.0,810.0,569.0
153,587.0,340.0,811.0,570.0
154,588.0,337.0,812.0,566.0
155,588.0,335.0,812.0,561.0
156,587.0,333.0,812.0,558.0
157,587.0,332.0,812.0,557.0
158,587.0,333.0,812.0,560.0
159,588.0,334.0,812.0,567.0
160,589.0,336.0,812.0,572.0
161,590.0,339.0,813.0,574.0
162,591.0,341.0,815.0,574.0
163,593.0,342.0,816.0,574.0
164,595.0,341.0,817.0,574.0
165,594.0,339.0,817.0,573.0
166,594.0,336.0,816.0,569.0
167,593.0,332.0,816.0,566.0
168,592.0,328.0,816.0,562.0
169,591.0,326.0,815.0,560.0
170,590.0,327.0,812.0,555.0
171,591.0,328.0,811.0,555.0
172,590.0,332.0,810.0,561.0
173,589.0,340.0,809.0,569.0
174,590.0,345.0,809.0,573.0
175,589.0,348.0,808.0,577.0
176,589.0,350.0,808.0,578.0
177,589.0,350.0,808.0,577.0
178,588.0,348.0,810.0,576.0
179,588.0,346.0,811.0,575.0
180,587.0,345.0,811.0,573.0
181,586.0,346.0,811.0,574.0
182,587.0,347.0,812.0,575.0
183,583.0,351.0,812.0,580.0
184,584.0,352.0,811.0,581.0
185,585.0,354.0,812.0,582.0
186,585.0,355.0,813.0,583.0
187,585.0,355.0,814.0,583.0
188,577.0,353.0,815.0,582.0
189,566.0,353.0,816.0,582.0
190,563.0,353.0,816.0,582.0
191,572.0,353.0,816.0,581.0
192,569.0,353.0,816.0,581.0
193,576.0,353.0,817.0,581.0
194,581.0,354.0,816.0,583.0
195,544.0,355.0,818.0,585.0
196,530.0,355.0,819.0,587.0
197,525.0,355.0,819.0,587.0
198,533.0,355.0,820.0,589.0
199,531.0,356.0,820.0,589.0
200,526.0,356.0,820.0,590.0
201,531.0,357.0,820.0,591.0
202,530.0,357.0,819.0,591.0
203,545.0,358.0,820.0,592.0
204,562.0,359.0,819.0,591.0
205,563.0,359.0,819.0,591.0
206,549.0,359.0,820.0,591.0
207,542.0,359.0,819.0,591.0
208,539.0,359.0,819.0,590.0
209,536.0,359.0,818.0,590.0
210,534.0,359.0,818.0,590.0
211,531.0,359.0,817.0,589.0
212,529.0,359.0,817.0,590.0
213,529.0,360.0,816.0,589.0
214,531.0,360.0,816.0,590.0
215,531.0,360.0,815.0,590.0
216,534.0,360.0,815.0,590.0
217,542.0,359.0,814.0,589.0
218,559.0,359.0,812.0,589.0
219,562.0,359.0,813.0,589.0
220,544.0,359.0,809.0,591.0
221,537.0,359.0,808.0,591.0
222,541.0,359.0,807.0,591.0
223,545.0,359.0,806.0,592.0
224,557.0,359.0,806.0,592.0
225,564.0,359.0,805.0,593.0
