frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,568,424,814,719
1,567,423,814,719
2,567,423,814,719
3,567,423,814,719
4,567,423,814,719
5,567,423,814,719
6,567,423,814,718
7,567,423,813,718
8,567,423,813,719
9,567,423,813,719
10,567,423,813,719
11,567,423,813,719
12,567,422,813,719
13,567,422,813,718
14,567,422,813,718
15,567,422,813,716
16,568,421,813,715
17,568,421,814,715
18,568,421,813,716
19,567,422,813,717
20,567,411,814,689
21,567,402,813,671
22,567,399,813,660
23,568,390,812,645
24,568,388,812,644
25,567,383,812,632
26,567,373,812,616
27,566,361,812,604
28,566,350,811,593
29,566,346,811,590
30,567,335,810,577
31,566,324,810,567
32,566,305,808,549
33,566,289,806,528
34,565,285,806,527
35,565,277,805,519
36,565,268,805,511
37,565,258,804,501
38,565,243,804,485
39,565,238,804,479
40,565,232,803,472
41,565,225,803,464
42,566,219,803,457
43,567,215,804,451
44,568,214,804,450
45,573,211,808,446
46,577,210,811,445
47,580,211,814,445
48,584,211,817,446
49,585,212,818,446
50,587,212,820,447
51,589,213,820,448
52,590,214,822,448
53,590,214,823,449
54,590,214,823,449
55,590,214,823,449
56,590,214,823,449
57,589,214,823,450
58,589,215,822,450
59,589,215,822,451
60,588,216,822,452
61,587,217,821,453
62,586,218,820,454
63,583,221,818,458
64,582,222,818,459
65,580,224,816,462
66,578,227,814,465
67,576,231,813,469
68,574,234,811,473
69,573,235,811,475
70,570,242,808,481
71,567,249,805,489
72,566,256,803,497
73,565,262,801,504
74,564,264,801,506
75,564,269,801,510
76,564,278,801,518
77,564,285,802,526
78,565,294,804,536
79,565,296,804,537
80,567,302,806,545
81,568,309,808,553
82,573,321,811,564
83,576,332,815,579
84,577,334,815,580
85,579,342,818,589
86,580,350,819,597
87,580,360,820,604
88,580,373,820,612
89,579,377,819,614
90,579,383,819,622
91,577,390,819,633
92,576,394,819,638
93,575,397,819,643
94,575,397,819,643
95,576,398,820,659
96,576,398,822,671
97,577,401,823,678
98,577,403,825,690
99,577,403,825,692
100,578,410,826,688
101,579,418,827,709
102,579,421,830,718
103,579,423,829,720
104,579,423,829,719
105,579,425,829,720
106,579,426,829,720
