frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,726,412,909,671
1,726,412,908,672
2,726,411,908,671
3,726,411,908,671
4,727,410,909,670
5,727,409,909,669
6,727,410,909,667
7,727,408,910,663
8,728,407,911,658
9,728,405,912,654
10,729,403,912,652
11,729,400,913,647
12,729,397,913,642
13,729,395,914,638
14,730,391,915,633
15,729,387,915,628
16,730,383,915,624
17,730,381,916,618
18,730,376,916,613
19,730,372,916,607
20,730,369,916,600
21,730,365,916,596
22,731,361,916,592
23,731,358,916,587
24,732,352,917,581
25,731,350,917,571
26,732,346,918,564
27,731,341,918,559
28,731,337,918,550
29,730,333,918,544
30,731,329,917,534
31,732,323,917,527
32,732,320,917,520
33,730,316,916,514
34,728,313,916,508
35,727,309,915,502
36,726,308,915,496
37,726,303,913,490
38,725,301,912,486
39,724,298,910,481
40,725,294,910,476
41,724,290,909,471
42,722,287,909,467
43,721,283,909,464
44,721,279,908,462
45,720,277,907,459
46,718,274,907,457
47,717,272,906,455
48,717,271,905,454
49,716,270,903,452
50,716,268,903,451
51,715,267,902,450
52,715,267,901,450
53,714,266,900,450
54,712,267,899,450
55,710,267,898,450
56,709,267,897,450
57,709,268,896,450
58,708,268,896,450
59,708,268,897,450
60,709,269,897,451
61,709,270,898,452
62,710,271,899,453
63,711,272,899,454
64,712,272,900,454
65,714,273,901,455
66,715,275,903,456
67,716,276,905,458
68,717,277,907,459
69,720,278,909,461
70,722,279,911,463
71,723,281,913,465
72,725,284,914,467
73,726,286,916,470
74,728,289,917,473
75,731,291,919,477
76,732,295,920,479
77,733,299,922,482
78,735,300,923,485
79,736,302,923,489
80,737,302,924,493
81,738,305,925,497
82,738,310,925,503
83,738,314,923,507
84,738,318,923,514
85,738,322,923,520
86,737,327,922,528
87,735,334,921,540
88,733,338,918,546
89,732,342,917,554
90,729,350,915,563
91,727,359,913,574
92,726,364,911,585
93,725,368,910,593
94,723,369,909,600
95,723,372,907,606
96,722,376,905,614
97,722,382,904,623
98,721,386,903,629
99,721,391,902,636
100,721,395,901,644
101,721,400,901,652
102,721,402,901,657
103,721,405,900,661
104,721,409,900,666
105,720,413,899,670
106,720,415,899,670
107,720,414,899,670
