frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,730,412,913,670
1,729,411,915,669
2,729,410,916,669
3,730,410,916,668
4,730,409,916,665
5,731,407,917,664
6,731,405,917,659
7,732,403,917,655
8,732,400,918,649
9,732,397,918,643
10,733,395,919,637
11,733,392,919,631
12,734,389,919,624
13,734,384,919,618
14,734,381,919,611
15,734,375,919,603
16,734,371,919,596
17,734,367,919,590
18,734,364,919,584
19,734,359,919,577
20,735,354,918,567
21,735,349,918,559
22,735,344,918,551
23,738,339,918,544
24,738,334,918,539
25,736,331,918,532
26,734,328,917,526
27,732,323,916,517
28,729,319,915,513
29,727,313,914,507
30,726,310,913,502
31,725,310,911,496
32,724,304,910,491
33,722,301,909,486
34,720,298,907,480
35,718,295,902,476
36,718,292,893,472
37,717,289,897,467
38,715,284,899,464
39,714,280,900,461
40,713,277,899,458
41,712,275,898,456
42,711,273,896,454
43,711,271,894,452
44,712,270,887,451
45,711,268,893,450
46,711,268,896,450
47,710,267,897,449
48,710,267,894,449
49,710,267,890,449
50,711,267,886,449
51,711,267,886,449
52,711,267,891,448
53,712,267,896,449
54,713,268,899,449
55,715,269,902,450
56,716,270,903,451
57,718,272,905,452
58,719,273,908,453
59,721,274,909,455
60,723,276,910,457
61,724,278,912,458
62,727,278,914,462
63,729,281,915,464
64,732,285,916,467
65,734,289,918,470
66,735,293,922,475
67,736,294,923,479
68,737,298,924,482
69,738,300,926,486
70,739,301,927,493
71,740,304,928,499
72,740,310,928,506
73,741,314,928,511
74,741,318,928,516
75,741,322,928,523
76,740,328,927,531
77,740,332,926,541
78,739,336,924,548
79,738,339,924,553
80,738,345,923,560
81,738,350,922,568
82,737,356,921,576
83,734,362,920,588
84,734,366,919,595
85,734,372,917,602
86,733,375,917,608
87,732,380,917,618
88,732,384,916,628
89,731,388,915,635
90,730,394,914,644
91,730,397,914,651
92,729,402,913,657
93,728,404,912,662
94,728,407,911,667
95,727,409,910,671
96,727,411,909,671
97,726,413,908,672
98,726,413,908,671
99,725,413,908,671
100,725,414,908,670
