frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,710,106,,,703,91,,,670,84,653,158,626,151,,,621,256,,,637,352,630,340,610,340,628,469,620,475,617,614,606,634
1,713,110,,,708,95,,,676,86,657,157,631,151,,,623,258,,,640,351,627,336,608,336,628,467,620,473,617,614,605,634
2,718,115,,,713,100,,,683,89,663,162,634,153,,,623,259,,,637,353,628,337,607,336,629,468,618,474,617,614,606,634
3,723,120,,,718,105,,,687,95,670,166,637,158,,,625,263,,,637,357,626,336,602,334,629,470,617,474,618,614,607,633
4,732,126,,,726,111,,,694,101,671,171,643,164,,,627,268,,,635,363,618,333,596,332,627,469,617,475,616,611,606,632
5,738,132,,,729,118,,,687,112,663,174,650,167,,,630,269,,,634,363,603,334,590,331,620,469,613,471,621,613,606,632
6,740,142,,,734,127,,,700,116,675,179,653,168,,,632,273,,,635,370,603,335,585,331,620,471,610,473,622,612,606,633
7,745,150,,,740,134,,,705,123,676,185,653,175,650.0,292.0,637,282,,,639,385,609,340,591,339,620,469,610,477,617,611,606,639
8,749,158,,,747,142,,,719,130,678,190,660,181,,,640,291,,,639,395,603,341,588,340,620,470,608,478,618,613,605,639
9,750,167,,,749,151,,,724,137,673,186,668,180,,,646,289,,,638,399,592,338,585,337,617,467,606,476,618,612,605,639
10,754,175,,,752,158,,,727,144,676,196,667,192,,,644,298,,,638,402,590,331,581,332,617,467,604,474,620,609,608,639
11,757,183,,,756,166,,,729,151,677,203,667,199,,,645,305,,,635,414,584,332,574,332,617,468,604,473,619,613,608,636
12,758,197,,,759,179,,,734,162,678,210,672,207,,,645,320,,,636,424,576,327,568,326,611,465,603,469,619,616,607,635
13,762,206,,,763,188,,,737,170,681,217,673,215,,,645,334,,,636,432,573,327,564,327,613,464,605,467,618,616,607,635
14,765,214,,,766,196,,,738,177,683,224,676,219,,,647,330,,,638,424,570,328,561,327,614,464,605,470,617,616,608,636
15,765,223,,,767,205,,,743,186,682,229,679,226,,,649,336,,,637,427,566,325,560,325,609,465,600,470,614,616,608,636
16,767,234,,,768,217,,,743,199,682,237,678,232,645.0,334.0,650,339,,,641,432,567,333,561,332,606,471,602,474,616,619,608,638
17,769,245,,,770,228,,,745,207,682,242,681,239,,,652,350,,,642,445,560,333,556,332,603,468,599,472,617,617,609,640
18,771,256,,,772,239,,,745,218,684,253,682,248,,,652,358,,,644,453,559,334,553,333,612,465,598,469,618,615,610,639
19,770,266,,,772,249,,,748,226,685,260,682,256,,,651,371,,,645,472,559,333,552,332,616,464,598,469,621,612,610,639
20,769,275,,,773,257,,,749,234,688,268,681,263,646.0,361.0,651,380,642.0,457.0,644,474,558,326,548,325,619,458,600,465,617,614,611,637
21,767,282,,,772,264,,,750,240,686,272,684,267,645.0,365.0,653,385,646.0,455.0,648,472,552,326,545,325,612,457,602,464,611,609,610,634
22,771,292,,,774,276,,,752,251,688,278,685,275,648.0,373.0,655,391,654.0,453.0,649,479,551,331,543,331,618,457,600,464,614,608,610,632
23,772,300,,,775,283,,,753,259,686,281,687,280,646.0,376.0,655,397,654.0,453.0,650,487,547,332,542,333,615,458,601,466,612,612,608,636
24,771,307,,,774,292,,,752,267,690,286,688,286,652.0,381.0,655,404,659.0,455.0,650,500,546,336,541,336,613,452,600,461,611,607,604,630
25,768,313,,,772,300,,,749,276,691,291,693,298,657.0,403.0,656,414,656.0,489.0,657,508,541,324,538,327,606,458,603,464,602,587,592,604
26,770,323,,,774,311,,,749,287,692,297,694,305,657.0,408.0,657,419,657.0,495.0,656,510,543,326,540,330,604,461,605,466,603,586,595,602
27,772,329,,,775,316,,,750,290,691,303,691,312,,,655,431,,,657,546,531,325,527,329,600,463,605,469,607,603,604,620
28,771,336,,,775,320,,,754,295,694,306,689,315,655.0,393.0,649,438,666.0,458.0,652,547,545,343,537,346,613,458,608,466,609,618,609,626
29,769,342,,,772,325,,,753,303,686,308,685,323,,,654,446,,,654,565,544,331,537,338,614,461,600,466,620,620,604,632
30,769,346,,,773,329,,,753,306,681,313,687,325,,,657,446,,,654,556,536,334,535,340,607,460,600,466,611,621,602,634
31,768,352,,,773,339,,,750,313,689,320,690,328,,,659,453,,,657,566,534,327,530,331,605,463,605,470,610,604,603,623
32,767,357,,,772,344,,,749,318,689,324,688,332,659.0,440.0,657,455,,,660,556,536,328,530,332,608,465,606,473,610,604,602,623
33,766,361,,,771,349,,,749,321,691,327,689,334,,,659,458,,,657,563,537,329,531,332,607,465,606,472,612,604,603,622
34,766,365,,,771,352,,,749,325,691,332,688,336,,,659,459,,,659,564,539,332,532,334,611,466,605,473,615,604,602,622
35,768,367,,,772,354,,,750,328,689,333,687,341,,,657,466,,,657,580,530,329,522,333,611,463,604,471,616,613,606,633
36,768,370,,,772,357,,,749,331,690,337,686,344,,,657,469,,,657,577,533,329,523,333,614,462,604,472,619,610,607,631
37,767,372,,,772,358,,,748,332,689,340,686,344,,,657,467,,,657,579,531,331,522,333,612,463,605,471,617,610,607,630
38,766,373,,,771,360,,,749,334,688,340,686,345,,,658,468,,,658,577,530,332,523,335,610,462,607,471,614,610,607,631
