frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,774,358,,,776,341,,,749,325,684,361,677,363,,,656,477,,,653,565,545,438,533,442,664,491,651,506,620.0,628.0,603,639
1,774,355,,,775,339,,,749,323,686,360,678,360,,,655,477,,,652,563,544,444,533,446,661,501,655,501,605.0,638.0,601,642
2,776,352,,,776,337,,,747,323,688,362,680,360,,,654,476,,,655,562,532,445,521,445,659,498,657,496,606.0,630.0,607,633
3,773,349,,,774,334,,,749,319,684,351,680,354,,,655,472,,,653,554,547,424,540,425,651,505,647,494,605.0,635.0,609,629
4,774,344,,,774,330,,,744,314,689,353,681,353,,,656,470,,,652,558,540,415,529,415,645,504,646,501,603.0,621.0,600,617
5,772,340,,,773,326,,,742,310,693,348,685,344,662.0,462.0,658,462,,,652,534,548,417,538,416,640,499,639,498,,,606,599
6,772,334,,,774,319,,,748,306,682,341,680,344,,,663,458,,,675,543,548,419,541,418,614,526,614,520,,,575,612
7,771,328,,,772,314,,,747,299,684,340,679,337,,,664,460,,,686,547,555,421,544,416,629,520,624,501,575.0,612.0,575,598
8,772,322,,,773,308,,,748,293,693,336,681,329,,,662,448,,,678,531,557,420,542,412,621,515,611,486,596.0,614.0,595,592
9,774,314,,,772,303,,,741,292,687,326,692,331,,,666,453,,,680,519,542,397,545,399,604,489,629,495,582.0,587.0,609,609
10,774,307,,,774,294,,,745,279,690,323,686,318,,,661,439,,,671,520,540,397,533,392,617,502,626,486,589.0,592.0,601,592
11,774,298,,,774,285,,,745,272,693,315,688,306,,,660,424,,,666,519,542,398,534,390,617,509,627,492,,,590,601
12,773,290,,,773,278,,,745,265,702,308,690,298,,,660,397,,,656,478,554,383,543,376,610,489,623,482,,,594,589
13,770,281,,,770,267,,,746,255,692,300,689,293,,,662,394,,,658,480,555,387,550,382,627,512,631,499,591.0,631.0,593,633
14,769,273,,,769,257,,,744,245,695,293,686,286,,,660,391,,,657,489,562,383,552,378,630,514,629,503,598.0,636.0,605,643
15,769,267,,,769,252,,,742,238,695,282,684,281,669.0,382.0,660,387,,,655,487,562,375,551,373,626,494,625,494,601.0,633.0,596,638
16,768,257,,,767,242,,,740,230,695,271,684,271,666.0,378.0,659,384,,,650,500,561,366,550,365,624,486,619,488,604.0,625.0,599,630
17,768,246,,,766,231,,,739,219,695,263,683,265,667.0,363.0,658,372,651.0,443.0,652,457,565,362,554,360,621,486,623,486,607.0,627.0,604,629
18,766,233,,,764,219,,,736,208,695,258,679,259,666.0,369.0,657,375,649.0,474.0,652,485,570,358,555,357,624,484,621,486,607.0,627.0,603,638
19,765,223,,,762,208,,,734,197,695,254,676,252,664.0,362.0,657,366,648.0,460.0,648,469,574,357,557,357,637,478,621,487,621.0,613.0,603,638
20,764,211,,,761,196,,,730,186,693,241,675,238,663.0,347.0,657,354,652.0,436.0,645,445,569,350,553,349,634,468,621,474,622.0,613.0,605,636
21,763,200,,,758,185,,,726,177,692,234,671,233,661.0,344.0,651,352,651.0,426.0,643,439,576,352,560,351,630,477,625,480,618.0,623.0,601,636
22,759,189,,,755,174,,,724,167,698,228,671,226,664.0,334.0,650,336,651.0,402.0,641,414,589,351,568,349,626,474,616,478,612.0,619.0,598,636
23,757,179,,,752,164,,,721,158,696,218,668,214,665.0,321.0,647,325,656.0,390.0,644,412,584,346,563,343,626,469,615,469,617.0,620.0,597,632
24,753,170,,,749,155,,,718,150,688,208,668,207,,,648,320,,,646,416,585,339,569,338,626,470,616,473,614.0,619.0,599,634
25,748,159,,,742,144,,,710,141,687,202,666,202,,,647,317,,,642,426,594,344,576,344,626,481,614,489,614.0,623.0,597,641
26,747,147,,,740,134,,,704,132,670,192,667,187,,,645,301,,,634,401,584,337,578,333,618,485,617,482,618.0,622.0,594,634
