frame_id,barbell_x_min,barbell_y_min,barbell_x_max,barbell_y_max
0,490,2,817,185
1,490,1,817,185
2,568,479,766,719
3,591,493,766,719
4,591,495,767,719
5,537,497,766,719
6,545,496,766,719
7,508,497,766,719
8,481,497,766,719
9,482,497,766,719
10,475,497,767,719
11,489,497,767,719
12,497,497,767,719
13,599,496,766,720
14,599,497,766,719
15,598,496,766,719
16,598,496,766,719
17,488,27,826,185
18,488,27,826,185
19,489,27,826,185
20,489,27,826,185
21,488,27,826,185
22,488,25,826,185
23,488,21,826,185
24,488,21,826,185
25,488,22,826,184
26,488,23,825,184
27,489,24,825,184
28,489,23,826,184
29,489,21,826,184
30,489,23,827,184
31,490,20,827,184
32,489,19,827,183
33,490,23,827,183
34,490,21,827,184
35,491,19,827,184
36,490,16,826,184
37,489,12,826,184
38,489,10,826,184
39,489,11,826,185
40,488,9,826,185
41,488,6,826,186
42,488,4,826,186
43,488,7,826,187
44,488,6,826,187
45,488,6,826,187
46,488,5,826,187
47,488,4,826,187
48,488,4,826,187
49,487,6,826,187
50,487,7,826,187
51,487,7,826,187
52,487,5,826,187
53,488,4,826,186
54,487,3,826,186
55,488,3,826,186
56,488,4,826,186
57,488,4,826,186
58,488,5,826,186
59,488,5,826,186
60,488,6,826,186
61,488,6,826,186
62,488,5,826,186
63,488,5,826,186
64,488,5,826,186
65,488,5,826,186
66,488,5,826,186
67,488,5,826,186
68,488,5,826,186
69,488,5,826,186
70,488,6,826,186
71,488,6,826,186
72,488,6,826,186
73,488,6,826,186
74,488,5,826,186
75,488,5,826,186
76,488,6,826,186
77,488,6,826,187
78,488,5,826,187
79,487,6,826,187
80,488,8,826,187
81,488,8,826,186
82,488,9,826,186
83,488,6,826,187
84,488,6,826,186
85,488,7,825,186
86,488,7,825,185
87,488,8,826,184
88,489,11,826,184
89,489,10,826,184
90,489,12,826,184
91,490,14,826,184
92,490,17,827,183
93,491,17,827,183
94,590,411,760,587
95,594,419,761,597
96,568,425,762,608
97,561,431,763,618
98,569,435,763,628
99,574,437,764,637
100,582,445,765,647
101,592,452,764,657
102,597,458,765,666
103,596,462,765,674
104,599,469,765,680
105,599,473,765,686
106,599,474,765,693
107,599,479,764,699
108,597,483,764,703
109,596,485,763,707
110,594,486,763,711
111,594,488,762,714
112,593,489,762,716
113,593,490,761,717
114,593,490,761,717
115,592,488,760,716
116,592,487,760,714
