frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,541,325,542.0,313.0,,,564.0,297.0,,,624,312,569,324,662.0,383.0,578,389,678.0,444.0,579,443,699,350,660,354,652,404,604,402,663.0,509.0,613.0,503.0
1,665,174,,,658.0,165.0,,,633.0,167.0,616,215,627,222,,,640,302,,,655,365,621,347,627,353,628,443,629,457,635.0,537.0,626.0,561.0
2,666,175,,,659.0,166.0,,,634.0,167.0,614,215,629,222,,,640,301,,,655,364,620,347,627,353,628,442,629,456,635.0,536.0,626.0,561.0
3,667,177,,,661.0,167.0,,,634.0,165.0,615,217,627,224,,,641,303,,,658,365,623,350,628,356,632,443,628,456,634.0,537.0,624.0,557.0
4,668,175,,,661.0,166.0,,,637.0,167.0,619,215,630,222,,,641,301,,,655,365,622,345,628,351,628,442,629,455,635.0,536.0,625.0,560.0
5,669,178,,,663.0,167.0,,,636.0,166.0,619,218,628,225,,,641,302,,,657,366,625,349,629,355,632,442,628,455,635.0,536.0,625.0,557.0
6,670,176,,,663.0,167.0,,,639.0,168.0,622,216,632,222,,,643,302,,,656,366,623,345,628,351,629,442,629,455,636.0,536.0,626.0,560.0
7,672,177,,,665.0,168.0,,,641.0,168.0,624,216,633,222,,,643,302,,,656,364,624,346,628,351,629,443,629,455,636.0,536.0,626.0,560.0
8,674,179,,,668.0,168.0,,,641.0,167.0,628,219,630,225,,,645,302,,,661,367,630,351,629,356,637,444,627,455,636.0,536.0,624.0,554.0
9,676,179,,,671.0,169.0,,,644.0,167.0,627,219,631,225,,,645,304,,,660,367,629,353,629,358,636,444,628,457,636.0,535.0,625.0,558.0
10,680,180,,,674.0,169.0,,,647.0,168.0,632,220,633,225,,,648,306,,,662,367,632,353,630,357,638,445,627,456,637.0,536.0,624.0,554.0
11,684,181,,,678.0,170.0,,,650.0,168.0,634,221,635,226,,,649,309,,,662,371,632,353,630,357,639,445,627,456,637.0,536.0,625.0,554.0
12,688,182,,,682.0,171.0,,,654.0,169.0,635,221,638,226,,,650,307,,,663,372,632,354,631,358,639,445,628,455,639.0,537.0,625.0,554.0
