frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,773,393,,,778,378,,,763,342,742,364,672,345,714,451,615,464,683,540,582,580,597,355,549,342,641,476,574,462,630,611,565,621
1,775,392,784.0,389.0,780,376,,,763,342,742,366,672,346,712,451,615,463,682,540,583,579,597,358,548,344,642,478,577,462,630,612,565,621
2,776,390,786.0,387.0,781,374,,,763,340,741,368,673,345,710,452,615,462,681,541,584,578,596,360,547,345,642,477,578,460,630,610,565,621
3,777,388,787.0,385.0,782,372,,,763,337,742,369,672,345,709,454,615,461,680,542,585,575,597,361,548,346,643,477,579,460,630,609,565,621
4,779,387,789.0,383.0,783,370,,,763,336,743,370,672,344,708,455,615,460,680,542,585,572,597,362,547,346,644,476,578,460,630,608,565,621
5,780,385,791.0,381.0,785,367,,,764,333,743,370,671,343,708,454,615,458,680,541,585,570,598,362,546,347,644,476,578,460,630,607,565,622
6,782,382,793.0,379.0,786,364,,,764,330,745,370,671,342,707,454,615,458,680,539,585,568,599,363,546,348,645,477,577,461,630,607,565,622
7,783,380,793.0,376.0,787,361,,,764,327,744,368,670,340,708,452,615,455,681,538,585,566,598,364,545,348,645,475,576,460,630,607,565,623
8,783,379,793.0,375.0,786,360,,,764,327,744,367,669,340,709,452,615,455,682,537,585,563,598,364,545,348,646,473,576,459,630,606,564,622
9,783,376,794.0,372.0,787,358,,,763,325,742,367,668,339,709,452,615,454,682,537,585,563,598,364,544,349,645,474,575,459,630,607,565,622
10,782,375,793.0,371.0,786,356,,,763,323,743,366,668,338,710,451,615,454,682,536,587,560,598,365,544,349,645,474,574,459,631,607,565,622
11,784,369,794.0,364.0,786,351,,,761,319,740,364,667,337,709,451,616,451,682,536,588,558,596,365,543,350,646,472,573,460,632,606,566,623
12,784,365,795.0,361.0,787,346,,,761,314,740,364,667,336,708,450,616,452,682,536,589,559,595,366,542,351,645,473,573,460,632,606,566,623
13,784,362,795.0,357.0,787,343,,,760,311,738,363,667,335,706,449,616,450,682,536,590,558,593,366,541,351,645,472,573,459,632,604,566,623
14,785,360,796.0,354.0,787,340,,,760,309,737,363,666,335,705,448,617,450,681,534,591,556,592,366,540,352,646,470,573,458,632,603,566,623
15,784,357,795.0,352.0,786,338,,,759,306,737,362,665,333,704,448,617,449,682,535,592,558,591,367,539,352,646,469,572,455,632,602,565,623
16,784,356,794.0,350.0,786,336,,,758,305,736,361,664,333,703,449,616,450,682,535,592,559,590,368,538,353,647,468,571,455,631,602,565,623
17,784,355,795.0,348.0,786,335,,,756,304,736,361,664,334,702,449,616,451,682,536,592,560,589,368,537,354,648,468,571,456,632,602,564,623
18,784,354,795.0,347.0,785,335,,,756,304,736,360,664,334,702,448,616,451,683,535,592,561,589,368,536,355,648,466,572,456,632,602,564,624
19,784,354,795.0,347.0,785,335,,,755,304,736,359,664,334,702,447,616,449,683,536,591,561,588,368,535,355,648,465,571,456,632,602,564,623
20,783,353,794.0,347.0,784,334,,,755,304,735,359,663,333,703,445,616,448,683,535,591,558,588,369,535,356,648,465,572,456,632,601,564,623
21,782,353,793.0,346.0,783,334,,,754,303,735,359,663,333,702,446,616,447,683,536,590,558,588,369,535,356,649,465,573,456,632,601,564,623
22,782,351,793.0,345.0,782,332,,,752,302,734,360,662,333,701,446,616,448,684,536,592,558,586,371,534,358,651,466,577,455,632,601,564,623
