frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,709,373,714,365,702,363,,,678,357,694,396,635,379,682,454,605,433,692,496,610,484,629,452,588,445,679,463,642,455,639,542,614,546
1,709,377,715,370,703,367,,,680,360,695,401,636,381,681,457,603,434,691,496,609,485,627,456,586,448,680,462,641,454,639,542,614,545
2,709,380,715,373,703,370,,,679,362,693,404,636,383,680,457,603,434,690,496,608,486,625,458,585,451,680,462,641,454,640,542,613,545
3,709,381,714,374,703,370,,,679,362,692,405,635,383,680,460,601,434,691,498,609,487,624,461,585,453,681,462,640,454,639,543,613,545
4,708,380,713,372,702,369,,,678,361,691,403,634,382,680,460,601,434,692,499,609,487,625,458,586,451,681,463,639,457,639,543,613,547
5,706,376,711,369,700,366,,,676,359,691,401,633,381,681,459,601,435,693,499,610,489,625,459,585,452,679,464,638,457,638,545,613,548
6,704,372,709,364,697,361,,,673,355,691,398,631,380,682,457,601,437,693,499,611,489,625,457,584,451,680,464,635,457,640,543,612,548
7,703,366,708,358,696,356,,,671,349,690,393,630,377,681,451,604,437,692,495,611,489,624,456,583,450,679,465,633,456,640,544,611,547
8,700,363,706,355,694,352,,,669,345,688,388,628,374,683,448,606,438,693,495,611,490,625,456,584,451,679,464,633,457,642,543,611,547
9,696,359,702,351,689,348,,,665,340,685,385,628,372,683,445,611,438,692,493,613,491,622,458,582,453,680,463,634,458,642,542,613,545
10,694,354,700,347,688,344,,,663,336,683,382,625,370,683,441,613,436,692,490,614,490,622,456,582,452,680,465,635,459,642,543,613,546
11,693,349,698,341,688,339,,,664,330,685,379,624,368,684,437,613,436,695,489,612,491,624,451,581,448,681,465,638,457,638,543,613,548
12,693,346,698,338,687,335,,,664,329,684,376,626,366,684,436,613,433,692,489,611,490,623,450,583,447,680,464,636,460,641,542,613,549
13,694,345,699,338,687,335,,,663,330,684,378,625,367,682,437,610,433,690,488,610,488,623,450,582,447,678,462,631,460,644,542,611,549
14,695,345,701,338,688,335,,,664,330,686,379,627,366,682,440,610,432,690,488,609,488,622,449,581,445,678,463,630,459,644,542,610,549
15,697,346,703,338,690,336,,,665,331,687,379,628,366,682,439,609,430,689,488,610,486,623,447,581,443,677,465,630,461,643,544,611,550
16,701,348,706,340,694,338,,,669,333,688,380,629,367,682,440,608,430,689,488,609,485,622,446,580,441,676,464,627,461,643,545,610,551
17,703,349,708,341,697,338,,,671,334,689,381,630,366,683,441,607,428,689,488,609,483,622,442,580,437,675,465,624,461,644,545,610,552
18,706,348,711,340,699,337,,,672,333,690,380,631,365,683,440,606,426,689,487,607,481,622,440,580,434,675,464,623,461,643,546,609,552
19,708,348,713,340,700,337,,,673,333,692,380,632,366,682,435,605,427,689,485,608,481,621,434,578,429,674,464,625,460,642,546,607,553
20,710,347,716,339,703,336,,,676,332,693,377,633,364,682,432,607,426,689,483,608,479,620,432,577,427,674,462,624,458,642,546,607,553
21,711,345,717,337,705,334,,,678,329,694,374,635,361,682,430,608,422,689,481,608,476,621,428,578,422,674,462,625,459,643,547,607,553
22,714,342,719,334,707,331,,,680,326,697,371,635,358,683,427,608,419,688,478,607,474,623,424,579,419,673,462,624,458,644,548,607,554
23,716,338,721,330,709,327,,,682,321,697,365,634,354,684,420,606,419,687,469,608,469,628,420,583,416,674,462,623,458,641,545,604,551
24,718,331,723,324,711,321,,,683,315,700,361,635,351,686,417,607,415,686,467,609,468,632,414,586,410,671,463,618,462,642,546,604,554
25,719,325,724,317,713,315,,,685,309,701,355,637,344,686,413,607,410,686,463,608,464,633,409,586,405,669,463,616,461,643,548,604,555
26,721,318,726,310,714,307,,,687,301,704,350,639,336,688,409,609,400,687,460,605,454,631,404,584,399,666,461,619,458,643,547,607,554
27,722,312,728,304,715,301,,,686,296,704,346,640,332,684,407,610,395,685,455,606,447,632,398,584,392,665,463,611,461,645,552,604,557
